front,back,mastery
Tokyo,37.4 million,1
Delhi,29.5 million,1
Shanghai,26.3 million,1
Mumbai,22.5 million,1
Mexico City,21.7 million,1
São Paulo,21.7 million,1
New York City,20.7 million,1
Kolkata,14.9 million,1
Los Angeles,13.1 million,1
Beijing,21.5 million,1
Osaka,19.3 million,1
Cairo,18.8 million,1
Chicago,9.5 million,1
Karachi,21.2 million,1
Istanbul,15.3 million,1
Dhaka,14.5 million,1
Buenos Aires,13.5 million,1
Lagos,13.4 million,1
Manila,13.1 million,1
Rio de Janeiro,12.7 million,1
Tianjin,12.7 million,1
Paris,12.1 million,1
Lahore,11.1 million,1
Bogotá,7.7 million,1
Kinshasa,11.8 million,1
Chennai,9.9 million,1
Bangkok,9.8 million,1
Jakarta,9.7 million,1
Moscow,9.6 million,1
Seoul,9.7 million,1
New Delhi,8.9 million,1
Tehran,8.8 million,1
Hanoi,8.3 million,1
Santiago,7.5 million,1
Taipei,7.5 million,1
Lima,7.5 million,1
Baghdad,7.3 million,1
Toronto,6.9 million,1
Kabul,5.5 million,1
San Francisco,5.5 million,1
Jerusalem,5.5 million,1
Toronto,5.5 million,1
Peking,5.4 million,1
Sydney,5.3 million,1
Johannesburg,5.2 million,1
Melbourne,4.9 million,1
Madrid,4.9 million,1
Boston,4.8 million,1
São Paulo,4.7 million,1
Mumbai,4.7 million,1
Chicago,4.7 million,1
Athens,4.6 million,1
Barcelona,4.6 million,1
Berlin,4.6 million,1
Mexico City,4.5 million,1
Hong Kong,4.5 million,1
San Diego,4.5 million,1
Houston,4.3 million,1
Seattle,4.2 million,1
Miami,4.2 million,1
Buenos Aires,4.1 million,1
Budapest,3.8 million,1
Paris,3.7 million,1
Washington,D.C.,3.7 million,1
Milan,3.7 million,1
Phoenix,3.7 million,1
Toronto,3.7 million,1
