front,back,mastery
China,1.439 billion,1
India,1.380 billion,1
United States,331 million,1
Indonesia,273 million,1
Pakistan,220 million,1
Brazil,212 million,1
Nigeria,206 million,1
Bangladesh,164 million,1
Russia,145 million,1
Mexico,128 million,1
Japan,126 million,1
Philippines,109 million,1
Vietnam,97 million,1
Egypt,96 million,1
Iran,84 million,1
Turkey,84 million,1
Ethiopia,115 million,1
Germany,83 million,1
Thailand,69 million,1
Democratic Republic of the Congo,87 million,1
France,65 million,1
United Kingdom,67 million,1
Italy,60 million,1
South Africa,59 million,1
Tanzania,59 million,1
South Korea,51 million,1
Colombia,50 million,1
Kenya,53 million,1
Spain,47 million,1
Argentina,45 million,1
Ukraine,42 million,1
Algeria,43 million,1
